scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Medium,Grant,5,1.1764705882352942,1.0,0.4133622471137581,1.0,3.0,2.0,2.0,2.1599999999999966
Medium,Registration,1,1.1764705882352942,1.0,0.41336224711375796,1.0,3.0,2.0,2.0,2.1599999999999966
Medium,Registration,2,1.25,1.0,0.49041444627368397,1.0,3.0,2.0,2.0,3.0
Medium,Registration,3,1.1494252873563218,1.0,0.3585739076677092,1.0,2.0,2.0,2.0,2.0
Medium,Registration,4,1.2820512820512822,1.0,0.5070268800332552,1.0,3.0,2.0,2.0,3.0
Medium,Registration,5,1.1904761904761905,1.0,0.42443982859879603,1.0,3.0,2.0,2.0,2.1700000000000017
Medium,Relinquishment,1,1.1764705882352942,1.0,0.3834824944236852,1.0,2.0,2.0,2.0,2.0
Medium,Relinquishment,2,1.2345679012345678,1.0,0.4547418206595805,1.0,3.0,2.0,2.0,2.200000000000003
Medium,Relinquishment,3,1.2195121951219512,1.0,0.4164633650362829,1.0,2.0,2.0,2.0,2.0
Medium,Relinquishment,4,1.2658227848101267,1.0,0.5479299215788239,1.0,4.0,2.0,2.0,3.219999999999999
Medium,Relinquishment,5,1.2820512820512822,1.0,0.5320247015414633,1.0,3.0,2.0,2.0,3.0
Medium,Revoke,1,1.1904761904761905,1.0,0.3950351662305606,1.0,2.0,2.0,2.0,2.0
Medium,Revoke,2,1.1627906976744187,1.0,0.37133986704045824,1.0,2.0,2.0,2.0,2.0
Medium,Revoke,3,1.2820512820512822,1.0,0.4807309342056439,1.0,3.0,2.0,2.0,2.230000000000004
Medium,Revoke,4,1.3333333333333333,1.0,0.6644105970267494,1.0,5.0,2.0,2.0,3.5200000000000102
Medium,Revoke,5,1.25,1.0,0.5155800469472481,1.0,3.0,2.0,2.0,3.0
High,Authorize,1,1.0118043844856661,1.0,0.10809600109956329,1.0,2.0,1.0,1.0,2.0
High,Authorize,2,1.0186757215619695,1.0,0.1354920929415848,1.0,2.0,1.0,1.0,2.0
High,Authorize,3,1.0186757215619695,1.0,0.1354920929415848,1.0,2.0,1.0,1.0,2.0
High,Authorize,4,1.0135135135135136,1.0,0.11555715026695866,1.0,2.0,1.0,1.0,2.0
High,Authorize,5,1.0186757215619695,1.0,0.1354920929415848,1.0,2.0,1.0,1.0,2.0
High,Deregistration,1,1.0101010101010102,1.0,0.10007917556503601,1.0,2.0,1.0,1.0,1.07000000000005
High,Deregistration,2,1.023890784982935,1.0,0.16364193248915282,1.0,3.0,1.0,1.0,2.0
High,Deregistration,3,1.0135135135135136,1.0,0.11555715026695866,1.0,2.0,1.0,1.0,2.0
High,Deregistration,4,1.0067114093959733,1.0,0.08171640200719718,1.0,2.0,1.0,1.0,1.0
High,Deregistration,5,1.0084033613445378,1.0,0.09136067563593982,1.0,2.0,1.0,1.0,1.0
High,Grant,1,1.0101010101010102,1.0,0.10007917556503601,1.0,2.0,1.0,1.0,1.07000000000005
