timeStamp,label,responseCode,responseMessage,failureMessage,scenario,request_type,run
2025-07-02 13:57:20.945,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:20.944,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:20.944,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:21.468,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:21.468,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:21.468,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:21.031,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:21.031,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:21.468,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:21.468,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:21.031,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:21.468,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:21.881,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:21.468,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:21.882,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:21.882,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:21.882,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:22.560,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:22.560,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:22.560,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:22.560,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:22.084,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:22.560,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:22.085,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:22.567,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:22.855,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:22.855,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:22.568,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:22.561,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:22.855,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:22.855,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:22.855,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:23.354,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:23.354,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:23.355,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:23.355,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:23.355,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:23.354,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:23.825,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:23.827,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:23.824,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:23.824,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:23.824,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:23.824,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:23.825,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:24.470,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:24.470,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:24.470,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:24.471,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:24.470,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:24.470,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:24.470,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:24.471,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:24.471,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:24.470,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:24.470,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:25.139,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:25.140,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:25.140,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:25.140,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:25.140,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:25.139,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:25.140,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:25.637,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:25.636,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:25.638,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:25.638,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:25.636,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:25.639,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:25.637,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:26.155,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:26.155,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:26.157,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:26.157,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:26.157,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:26.155,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:26.157,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:26.155,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:57:26.157,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:26.722,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:26.723,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:57:26.723,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:57:26.723,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:57:27.110,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
